tema,indicador,anio,sexo,disc,entidad,rango_edad,tipo_discapacidad,num,den,casos,fuente,universo,encuesta
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Quintana Roo,60+,Brazos o manos,0.0,4708.0,19.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Quintana Roo,60+,Caminar,133.0,19934.0,78.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Quintana Roo,60+,Hablar o comunicarse,0.0,431.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Quintana Roo,60+,Mental,0.0,1665.0,9.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Quintana Roo,60+,Oír,252.0,4763.0,19.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Quintana Roo,60+,Recordar o concentrarse,0.0,4163.0,17.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Quintana Roo,60+,Ver,278.0,11046.0,47.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,18-29,Bañarse o vestirse,497.0,497.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,18-29,Caminar,497.0,1461.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,18-29,Hablar o comunicarse,497.0,497.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,18-29,Mental,497.0,899.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,18-29,Recordar o concentrarse,497.0,890.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,18-29,Ver,0.0,2156.0,6.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,30-44,Bañarse o vestirse,565.0,565.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,30-44,Brazos o manos,179.0,790.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,30-44,Caminar,565.0,1609.0,5.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,30-44,Hablar o comunicarse,358.0,1168.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,30-44,Mental,387.0,953.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
