tema,indicador,anio,sexo,disc,entidad,rango_edad,tipo_discapacidad,num,den,casos,ee,fuente,universo,encuesta
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,60+,Oír,596.0,5533.0,43.0,0.0579566560865701,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,60+,Recordar o concentrarse,0.0,2522.0,18.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,60+,Ver,794.0,7082.0,52.0,0.0522523615543146,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,18-29,Bañarse o vestirse,62.0,1454.0,6.0,0.0217629425044228,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,18-29,Brazos o manos,729.0,1516.0,6.0,0.3976299516009604,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,18-29,Caminar,106.0,1621.0,8.0,0.0223080983618612,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,18-29,Hablar o comunicarse,0.0,1916.0,7.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,18-29,Mental,44.0,3447.0,12.0,0.0001847863057871,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,18-29,Oír,0.0,33.0,1.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,18-29,Recordar o concentrarse,82.0,1667.0,8.0,0.0235258551594473,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,18-29,Ver,3042.0,3128.0,10.0,0.0195228584686941,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,30-44,Bañarse o vestirse,577.0,1723.0,7.0,0.3385246405542131,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,30-44,Brazos o manos,1087.0,2895.0,9.0,0.2019526099914793,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,30-44,Caminar,4277.0,8814.0,25.0,0.0857004013654003,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,30-44,Hablar o comunicarse,0.0,1204.0,8.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,30-44,Mental,530.0,2208.0,9.0,0.2264501729150555,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,30-44,Oír,603.0,1227.0,3.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,30-44,Recordar o concentrarse,72.0,1204.0,8.0,0.0366703216986493,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,30-44,Ver,4185.0,7130.0,19.0,0.1216556552791723,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,45-59,Bañarse o vestirse,1693.0,4104.0,11.0,0.1746687702819136,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,45-59,Brazos o manos,1465.0,3308.0,13.0,0.2752789703626118,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,45-59,Caminar,3636.0,14015.0,54.0,0.0896194818317402,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,45-59,Hablar o comunicarse,470.0,1968.0,6.0,0.0006421355076551,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,45-59,Mental,1313.0,3739.0,12.0,0.1301219883890347,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,45-59,Oír,1304.0,3091.0,10.0,0.0263791529795725,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,45-59,Recordar o concentrarse,1041.0,2938.0,13.0,0.0239603560040844,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,45-59,Ver,2496.0,8332.0,38.0,0.0266227420719793,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,60+,Bañarse o vestirse,698.0,5311.0,26.0,0.0066002306573891,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,60+,Brazos o manos,474.0,6451.0,33.0,0.064653764961634,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,60+,Caminar,5397.0,22796.0,105.0,0.0601328329563608,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,60+,Hablar o comunicarse,0.0,1847.0,9.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
