tema,indicador,anio,sexo,disc,entidad,rango_edad,tipo_discapacidad,num,den,casos,fuente,universo,encuesta
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Ciudad de México,60+,Ver,39266.0,103507.0,2978.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Coahuila,18-29,Ver,1954.0,4932.0,370.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Coahuila,30-44,Ver,3383.0,7443.0,585.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Coahuila,45-59,Ver,5548.0,12133.0,1061.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Coahuila,60+,Ver,10625.0,27208.0,2562.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Colima,18-29,Ver,469.0,1195.0,120.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Colima,30-44,Ver,796.0,2026.0,193.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Colima,45-59,Ver,1183.0,3275.0,311.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Colima,60+,Ver,3476.0,8441.0,868.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Durango,18-29,Ver,1956.0,4148.0,525.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Durango,30-44,Ver,2203.0,5312.0,743.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Durango,45-59,Ver,3547.0,7987.0,1176.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Durango,60+,Ver,7940.0,21066.0,3661.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Guanajuato,18-29,Ver,5614.0,12356.0,826.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Guanajuato,30-44,Ver,6652.0,16482.0,1015.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Guanajuato,45-59,Ver,10324.0,23789.0,1548.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Guanajuato,60+,Ver,22688.0,58849.0,4566.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Guerrero,18-29,Ver,2437.0,7064.0,1659.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Guerrero,30-44,Ver,3710.0,10808.0,2135.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Guerrero,45-59,Ver,7588.0,17388.0,3329.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Guerrero,60+,Ver,22235.0,50415.0,10636.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Hidalgo,18-29,Ver,3087.0,6424.0,997.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Hidalgo,30-44,Ver,3433.0,7747.0,1367.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Hidalgo,45-59,Ver,6498.0,13990.0,2301.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Hidalgo,60+,Ver,15243.0,36669.0,7062.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Jalisco,18-29,Ver,5630.0,13492.0,1445.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Jalisco,30-44,Ver,8675.0,20557.0,2042.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Jalisco,45-59,Ver,13260.0,32987.0,3364.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Jalisco,60+,Ver,29938.0,82156.0,10143.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Michoacán,18-29,Ver,3573.0,8489.0,1346.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
