tema,indicador,anio,sexo,disc,entidad,rango_edad,tipo_discapacidad,num,den,casos,ee,fuente,universo,encuesta
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,60+,Hablar o comunicarse,916.0,1375.0,10.0,0.1502848613173431,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,60+,Mental,767.0,1399.0,9.0,0.1682300181192148,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,60+,Oír,3003.0,5533.0,43.0,0.062697323591185,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,60+,Recordar o concentrarse,1450.0,2522.0,18.0,0.1285421233855798,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,60+,Ver,2540.0,7082.0,52.0,0.0737773324845407,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Baja California,18-29,Bañarse o vestirse,1412.0,1454.0,6.0,0.0286673837367121,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Baja California,18-29,Brazos o manos,1472.0,1516.0,6.0,0.0008077263949952,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Baja California,18-29,Caminar,884.0,1621.0,8.0,0.0224149779216748,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Baja California,18-29,Hablar o comunicarse,1319.0,1916.0,7.0,0.0143948699328417,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Baja California,18-29,Mental,2821.0,3447.0,12.0,0.0111697530111019,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Baja California,18-29,Oír,33.0,33.0,1.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Baja California,18-29,Recordar o concentrarse,969.0,1667.0,8.0,0.0334233618841353,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Baja California,18-29,Ver,3042.0,3128.0,10.0,0.0195228584686941,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Baja California,30-44,Bañarse o vestirse,1577.0,1723.0,7.0,0.027105850441752,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Baja California,30-44,Brazos o manos,1782.0,2895.0,9.0,0.01217706213082,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Baja California,30-44,Caminar,6570.0,8814.0,25.0,0.0563255770610224,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Baja California,30-44,Hablar o comunicarse,1060.0,1204.0,8.0,0.0389312806464218,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Baja California,30-44,Mental,2064.0,2208.0,9.0,0.0175125945388576,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Baja California,30-44,Oír,1198.0,1227.0,3.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Baja California,30-44,Recordar o concentrarse,1098.0,1204.0,8.0,0.0381017109169438,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Baja California,30-44,Ver,5461.0,7130.0,19.0,0.0642320580325468,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Baja California,45-59,Bañarse o vestirse,2909.0,4104.0,11.0,0.1142733262893364,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Baja California,45-59,Brazos o manos,2257.0,3308.0,13.0,0.046366657309866,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Baja California,45-59,Caminar,8079.0,14015.0,54.0,0.0731659149499418,ENIGH (INEGI),Personas de 18 años o más,enigh
