tema,indicador,anio,sexo,disc,entidad,rango_edad,decil,num,den,casos,fuente,universo,encuesta
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,San Luis Potosí,18-29,9,0.0,788.0,2.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Sinaloa,18-29,1,0.0,367.0,1.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Sinaloa,18-29,10,0.0,214.0,1.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Sinaloa,18-29,2,0.0,177.0,1.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Sinaloa,18-29,3,187.0,1017.0,4.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Sinaloa,18-29,4,267.0,267.0,1.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Sinaloa,18-29,6,0.0,220.0,1.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Sinaloa,18-29,7,0.0,547.0,2.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Sinaloa,18-29,8,209.0,1023.0,4.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Sinaloa,18-29,9,963.0,963.0,3.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Sonora,18-29,10,0.0,789.0,2.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Sonora,18-29,2,0.0,422.0,1.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Sonora,18-29,3,0.0,655.0,1.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Sonora,18-29,4,0.0,562.0,2.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Sonora,18-29,5,0.0,585.0,2.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Sonora,18-29,7,953.0,1829.0,4.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Sonora,18-29,8,0.0,825.0,2.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Sonora,18-29,9,166.0,166.0,1.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Tabasco,18-29,1,0.0,757.0,2.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Tabasco,18-29,10,419.0,419.0,1.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Tabasco,18-29,2,0.0,1141.0,4.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Tabasco,18-29,3,0.0,574.0,2.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Tabasco,18-29,4,243.0,243.0,1.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Tabasco,18-29,7,0.0,411.0,1.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Tabasco,18-29,9,232.0,232.0,1.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Tamaulipas,18-29,2,0.0,917.0,3.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Tamaulipas,18-29,3,0.0,1103.0,2.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Tamaulipas,18-29,5,0.0,826.0,2.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Tamaulipas,18-29,6,0.0,1409.0,3.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Tamaulipas,18-29,7,0.0,950.0,1.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Tamaulipas,18-29,9,0.0,707.0,1.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Tlaxcala,18-29,1,0.0,132.0,1.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Tlaxcala,18-29,10,152.0,304.0,2.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Tlaxcala,18-29,3,0.0,222.0,2.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Tlaxcala,18-29,4,317.0,462.0,3.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Tlaxcala,18-29,5,0.0,458.0,3.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Tlaxcala,18-29,9,222.0,222.0,1.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
