tema,indicador,anio,sexo,disc,entidad,rango_edad,num,den,casos,ee,fuente,universo,encuesta
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Colima,60+,1811.0,4924.0,23.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Durango,18-29,170.0,170.0,1.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Durango,30-44,332.0,2129.0,4.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Durango,45-59,0.0,3095.0,4.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Durango,60+,600.0,10468.0,27.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Guanajuato,18-29,568.0,2810.0,9.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Guanajuato,30-44,747.0,3305.0,14.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Guanajuato,45-59,2140.0,7845.0,11.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Guanajuato,60+,9673.0,29151.0,60.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Guerrero,18-29,3067.0,6854.0,4.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Guerrero,30-44,1869.0,3159.0,5.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Guerrero,45-59,1144.0,9259.0,6.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Guerrero,60+,19880.0,39517.0,48.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Hidalgo,18-29,3979.0,4605.0,10.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Hidalgo,30-44,468.0,3097.0,8.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Hidalgo,45-59,1699.0,6533.0,15.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Hidalgo,60+,7884.0,24364.0,86.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Jalisco,18-29,1599.0,2785.0,2.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Jalisco,30-44,0.0,15873.0,6.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Jalisco,45-59,5835.0,13110.0,7.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Jalisco,60+,7930.0,115983.0,29.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Michoacán,18-29,4547.0,6289.0,4.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Michoacán,30-44,4124.0,11295.0,8.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Michoacán,45-59,3106.0,7819.0,10.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Michoacán,60+,27384.0,63843.0,69.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Morelos,18-29,1406.0,1904.0,4.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Morelos,30-44,1103.0,1683.0,7.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Morelos,45-59,156.0,3500.0,6.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Morelos,60+,3784.0,18906.0,53.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,México,18-29,2404.0,4846.0,4.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,México,30-44,1730.0,11207.0,2.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,México,45-59,1712.0,9503.0,6.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,México,60+,19634.0,125058.0,41.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Nayarit,18-29,377.0,377.0,1.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Nayarit,30-44,716.0,1705.0,7.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Nayarit,45-59,105.0,222.0,2.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Nayarit,60+,3323.0,9504.0,33.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Nuevo León,18-29,1573.0,1573.0,1.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Nuevo León,30-44,2802.0,3623.0,3.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Nuevo León,45-59,4971.0,6159.0,4.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Nuevo León,60+,6244.0,47190.0,31.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Oaxaca,18-29,5538.0,8895.0,6.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Oaxaca,30-44,10338.0,12510.0,12.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Oaxaca,45-59,2024.0,11422.0,11.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Oaxaca,60+,15431.0,36473.0,47.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Puebla,18-29,15162.0,15694.0,4.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Puebla,30-44,5413.0,15894.0,6.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Puebla,45-59,0.0,3735.0,1.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
