tema,indicador,anio,sexo,disc,entidad,rango_edad,num,den,casos,ee,fuente,universo,encuesta
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Coahuila,30-44,3266.0,7005.0,37.0,0.0604776933771811,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Coahuila,45-59,14638.0,26109.0,124.0,0.0463022377499904,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Coahuila,60+,8516.0,49108.0,226.0,0.0225788418605246,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Colima,18-29,682.0,1754.0,33.0,0.1048977345848173,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Colima,30-44,1699.0,2492.0,43.0,0.077701953911189,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Colima,45-59,3123.0,5951.0,85.0,0.0558407305062696,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Colima,60+,4071.0,12345.0,216.0,0.0380419007332652,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Durango,18-29,2785.0,6339.0,30.0,0.0979885422459136,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Durango,30-44,3355.0,6764.0,40.0,0.0736304059611104,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Durango,45-59,9374.0,12832.0,68.0,0.0557708628295676,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Durango,60+,8574.0,33908.0,203.0,0.0281691607666817,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Guanajuato,18-29,9553.0,17739.0,39.0,0.0793739244977159,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Guanajuato,30-44,11431.0,20171.0,43.0,0.0791018100895769,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Guanajuato,45-59,20854.0,39667.0,76.0,0.0464594447126606,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Guanajuato,60+,27040.0,89394.0,198.0,0.0327818868575249,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Guerrero,18-29,4937.0,8229.0,22.0,0.0547555577056021,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Guerrero,30-44,7517.0,10776.0,29.0,0.0879404262974637,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Guerrero,45-59,22070.0,30644.0,84.0,0.0453853429302539,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Guerrero,60+,32541.0,75018.0,209.0,0.0394728600188185,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Hidalgo,18-29,6528.0,13193.0,30.0,0.0710200012086911,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Hidalgo,30-44,6448.0,12836.0,33.0,0.0740567563927058,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Hidalgo,45-59,15813.0,20826.0,53.0,0.0601126951097612,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Hidalgo,60+,19263.0,51708.0,138.0,0.0419489903429186,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Jalisco,18-29,11135.0,23681.0,27.0,0.0797890518204811,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Jalisco,30-44,17712.0,30699.0,35.0,0.0799037758279566,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Jalisco,45-59,26793.0,41206.0,50.0,0.0549967978276778,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Jalisco,60+,21407.0,121271.0,164.0,0.0309091256870184,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Michoacán,18-29,8095.0,12258.0,19.0,0.1120885079131908,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Michoacán,30-44,13947.0,20623.0,34.0,0.0703439299221055,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Michoacán,45-59,25386.0,36032.0,58.0,0.0631824096158,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Michoacán,60+,36710.0,91783.0,151.0,0.0426473772412713,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Morelos,18-29,1720.0,3283.0,17.0,0.1226614530908683,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Morelos,30-44,6420.0,8689.0,38.0,0.0747969822616399,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Morelos,45-59,8321.0,11092.0,52.0,0.0662499639264317,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Morelos,60+,11325.0,33198.0,162.0,0.0402392205683479,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,México,18-29,20062.0,36702.0,35.0,0.0861606802899182,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,México,30-44,28707.0,52177.0,41.0,0.0689015771419381,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,México,45-59,48926.0,77600.0,72.0,0.0778668229917871,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,México,60+,49689.0,174694.0,163.0,0.0380110224827887,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Nayarit,18-29,2037.0,3527.0,19.0,0.115999260132905,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Nayarit,30-44,3424.0,5357.0,30.0,0.0918517070727085,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Nayarit,45-59,7455.0,10429.0,59.0,0.0569731005652131,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Nayarit,60+,5314.0,17834.0,101.0,0.0513647789918911,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Nuevo León,18-29,5448.0,8816.0,23.0,0.1331100725381507,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Nuevo León,30-44,10939.0,22189.0,43.0,0.0736190033002113,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Nuevo León,45-59,16820.0,35564.0,74.0,0.0712634978222877,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Nuevo León,60+,16601.0,104139.0,248.0,0.0261592228599709,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Oaxaca,18-29,8754.0,11222.0,25.0,0.0714117048159943,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Oaxaca,30-44,12530.0,14523.0,35.0,0.0364745530762891,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Oaxaca,45-59,19697.0,30037.0,72.0,0.0606737515154891,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Oaxaca,60+,36415.0,77550.0,185.0,0.0402735546876243,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Puebla,18-29,15555.0,22483.0,29.0,0.0723559481481904,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Puebla,30-44,21156.0,27732.0,32.0,0.0786844369329556,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Puebla,45-59,14730.0,25247.0,32.0,0.0730883513459636,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Puebla,60+,58539.0,117576.0,152.0,0.0466663797534512,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Querétaro,18-29,3915.0,5918.0,38.0,0.0888069085834241,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Querétaro,30-44,2970.0,6516.0,44.0,0.0804257964905068,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Querétaro,45-59,9854.0,18521.0,93.0,0.0501160901813827,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Querétaro,60+,8865.0,30946.0,200.0,0.0324133950020501,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Quintana Roo,18-29,1925.0,5298.0,23.0,0.1052983545577666,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Quintana Roo,30-44,4004.0,7066.0,30.0,0.0847405281409578,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Quintana Roo,45-59,9480.0,13954.0,55.0,0.0692994480111723,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Quintana Roo,60+,5057.0,21704.0,96.0,0.0410750128858725,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,San Luis Potosí,18-29,1587.0,8586.0,29.0,0.0665263010635094,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,San Luis Potosí,30-44,5382.0,8036.0,27.0,0.0896501336612682,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,San Luis Potosí,45-59,11788.0,17855.0,60.0,0.0469536256467925,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,San Luis Potosí,60+,21165.0,52805.0,195.0,0.0317131606214971,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Sinaloa,18-29,2774.0,7928.0,32.0,0.0799269434380876,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Sinaloa,30-44,8268.0,14445.0,52.0,0.0633894151876217,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Sinaloa,45-59,12420.0,20319.0,78.0,0.0587101598986535,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Sinaloa,60+,13118.0,47933.0,181.0,0.0359162327099942,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Sonora,18-29,1250.0,5356.0,15.0,0.006482450468928,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Sonora,30-44,7105.0,9679.0,24.0,0.0802530574446833,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Sonora,45-59,10937.0,25247.0,66.0,0.0543211027993364,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Sonora,60+,8705.0,44877.0,140.0,0.0339699823679442,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Tabasco,18-29,3145.0,6696.0,21.0,0.0964102090608338,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Tabasco,30-44,7585.0,10787.0,33.0,0.0925662488003878,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Tabasco,45-59,14149.0,19561.0,62.0,0.0584737324797589,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Tabasco,60+,12909.0,32046.0,97.0,0.0546355251221088,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Tamaulipas,18-29,3012.0,7832.0,18.0,0.0984226706865409,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Tamaulipas,30-44,7664.0,13270.0,30.0,0.0793644117239497,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Tamaulipas,45-59,13532.0,23205.0,53.0,0.0689988653919158,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Tamaulipas,60+,7143.0,41468.0,103.0,0.0375107695191596,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Tlaxcala,18-29,1184.0,3007.0,19.0,0.1005090210879163,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Tlaxcala,30-44,2096.0,3479.0,21.0,0.1015200197216957,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Tlaxcala,45-59,3768.0,5883.0,37.0,0.0746038518160236,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Tlaxcala,60+,5945.0,19305.0,126.0,0.0391857715823308,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Veracruz,18-29,13300.0,27273.0,28.0,0.0347501764732127,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Veracruz,30-44,26021.0,39169.0,46.0,0.0507018151913387,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Veracruz,45-59,41176.0,60521.0,73.0,0.041014311293553,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Veracruz,60+,60874.0,153815.0,186.0,0.0371587157551471,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Yucatán,18-29,3143.0,6882.0,30.0,0.0659696168455359,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Yucatán,30-44,6048.0,8975.0,47.0,0.0558583677927742,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Yucatán,45-59,10768.0,14744.0,67.0,0.0655181300773012,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Yucatán,60+,15566.0,40894.0,203.0,0.0339665400264987,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Zacatecas,18-29,1719.0,2838.0,15.0,0.1161937918242143,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Zacatecas,30-44,3928.0,6628.0,36.0,0.0760446673184138,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Zacatecas,45-59,7016.0,10540.0,58.0,0.0572870741053022,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Zacatecas,60+,13695.0,34568.0,192.0,0.0348621985730051,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Sin discapacidad,Aguascalientes,18-29,115629.0,150512.0,1023.0,0.0149250819006403,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Sin discapacidad,Aguascalientes,30-44,105814.0,114375.0,794.0,0.0109983193698784,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Sin discapacidad,Aguascalientes,45-59,96179.0,106470.0,704.0,0.0131503614404167,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Sin discapacidad,Aguascalientes,60+,29058.0,55363.0,388.0,0.0279698626138863,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Sin discapacidad,Baja California,18-29,267878.0,377084.0,1370.0,0.0179599080984791,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Sin discapacidad,Baja California,30-44,358655.0,385943.0,1406.0,0.0099614751921947,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Sin discapacidad,Baja California,45-59,277872.0,323551.0,1155.0,0.0144545136601077,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Sin discapacidad,Baja California,60+,74835.0,169374.0,574.0,0.0278508735188955,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Sin discapacidad,Baja California Sur,18-29,55434.0,73989.0,813.0,0.0172812151329501,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Sin discapacidad,Baja California Sur,30-44,81917.0,88813.0,955.0,0.0107154981082135,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Sin discapacidad,Baja California Sur,45-59,56975.0,66161.0,741.0,0.0144482323304575,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Sin discapacidad,Baja California Sur,60+,16405.0,34547.0,398.0,0.0279780230115005,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Sin discapacidad,Campeche,18-29,68243.0,89276.0,751.0,0.0154799162397669,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Sin discapacidad,Campeche,30-44,83125.0,87837.0,727.0,0.0095550651518931,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Sin discapacidad,Campeche,45-59,62413.0,71045.0,589.0,0.0152762579857512,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Sin discapacidad,Campeche,60+,22917.0,35804.0,299.0,0.0280928335979198,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Sin discapacidad,Chiapas,18-29,441786.0,504068.0,746.0,0.0131212901334635,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Sin discapacidad,Chiapas,30-44,453353.0,466879.0,690.0,0.0062717609371057,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Sin discapacidad,Chiapas,45-59,330520.0,350332.0,518.0,0.0121299189298049,ENIGH (INEGI),Personas de 18 años o más,enigh
