tema,indicador,anio,sexo,disc,entidad,rango_edad,num,den,casos,ee,fuente,universo,encuesta
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Colima,18-29,432.0,1195.0,120.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Colima,30-44,1197.0,2026.0,193.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Colima,45-59,1856.0,3275.0,311.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Colima,60+,1863.0,8441.0,868.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Durango,18-29,1760.0,4147.0,524.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Durango,30-44,3034.0,5311.0,742.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Durango,45-59,4342.0,7987.0,1176.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Durango,60+,4023.0,21066.0,3661.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Guanajuato,18-29,6193.0,12356.0,826.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Guanajuato,30-44,10087.0,16482.0,1015.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Guanajuato,45-59,14233.0,23789.0,1548.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Guanajuato,60+,13630.0,58791.0,4565.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Guerrero,18-29,2541.0,7064.0,1659.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Guerrero,30-44,5939.0,10808.0,2135.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Guerrero,45-59,9921.0,17388.0,3329.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Guerrero,60+,12538.0,50415.0,10636.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Hidalgo,18-29,2791.0,6424.0,997.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Hidalgo,30-44,4614.0,7747.0,1367.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Hidalgo,45-59,8362.0,13990.0,2301.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Hidalgo,60+,9338.0,36669.0,7062.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Jalisco,18-29,6221.0,13492.0,1445.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Jalisco,30-44,12682.0,20557.0,2042.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Jalisco,45-59,19316.0,32987.0,3364.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Jalisco,60+,18397.0,82156.0,10143.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Michoacán,18-29,3858.0,8489.0,1346.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Michoacán,30-44,7208.0,12658.0,1981.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Michoacán,45-59,12019.0,20204.0,3252.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Michoacán,60+,15384.0,59609.0,10368.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Morelos,18-29,1766.0,3472.0,451.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Morelos,30-44,3650.0,5472.0,634.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Morelos,45-59,5689.0,9318.0,1109.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Morelos,60+,6351.0,25720.0,3142.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,México,18-29,14238.0,32393.0,2361.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,México,30-44,27412.0,42252.0,2931.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,México,45-59,42275.0,69055.0,4622.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,México,60+,33486.0,140627.0,10310.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Nayarit,18-29,1373.0,2943.0,345.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Nayarit,30-44,1563.0,2981.0,456.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Nayarit,45-59,3162.0,5234.0,749.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Nayarit,60+,3727.0,14887.0,2230.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Nuevo León,18-29,4269.0,9098.0,531.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Nuevo León,30-44,5819.0,10400.0,673.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Nuevo León,45-59,10930.0,19101.0,1314.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Nuevo León,60+,7439.0,42986.0,3266.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Oaxaca,18-29,3680.0,9352.0,4698.0,,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
