tema,indicador,anio,sexo,disc,entidad,rango_edad,decil,num,den,casos,fuente,universo,encuesta
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,45-59,10,2343.0,2912.0,11.0,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,45-59,2,723.0,723.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,45-59,3,1607.0,1848.0,6.0,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,45-59,4,1551.0,2704.0,8.0,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,45-59,5,1226.0,1972.0,14.0,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,45-59,6,2505.0,3267.0,14.0,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,45-59,7,1734.0,3673.0,11.0,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,45-59,8,4021.0,5830.0,18.0,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,45-59,9,2951.0,4009.0,16.0,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,60+,1,465.0,1045.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,60+,10,5854.0,6926.0,19.0,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,60+,2,707.0,901.0,7.0,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,60+,3,276.0,920.0,5.0,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,60+,4,809.0,1455.0,13.0,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,60+,5,2202.0,2740.0,15.0,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,60+,6,3144.0,4475.0,22.0,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,60+,7,3894.0,4652.0,26.0,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,60+,8,5646.0,6809.0,26.0,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,60+,9,6346.0,7631.0,32.0,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California Sur,18-29,1,0.0,139.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California Sur,18-29,10,280.0,720.0,5.0,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California Sur,18-29,3,174.0,336.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California Sur,18-29,4,183.0,449.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
